seqnames	start	end	width	strand	V4	V5	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr1	839216	840388	1173	*	PEAK_000000005925	2.97236	Distal Intergenic	1	852953	854817	1865	2	100130417	uc010nxy.1	14429	ENSG00000223764	LOC100130417	uncharacterized LOC100130417
chr1	919280	919941	662	*	PEAK_000000002465	3.4604	Promoter (1-2kb)	1	910579	917473	6895	2	84808	uc001ach.2	-1807	ENSG00000187642	PERM1	PPARGC1 and ESRR induced regulator, muscle 1
chr1	967906	968696	791	*	PEAK_000000002053	3.55421	Intron (uc001ack.2/375790, intron 2 of 35)	1	955503	991499	35997	1	375790	uc001ack.2	12403	ENSG00000188157	AGRN	agrin
chr1	998914	999836	923	*	PEAK_000000002579	3.44081	Intron (uc001acl.1/uc001acl.1, intron 3 of 3)	1	1007126	1009687	2562	2	401934	uc021oen.1	9851	ENSG00000237330	RNF223	ring finger protein 223
chr1	1057243	1057950	708	*	PEAK_000000006417	2.91817	Distal Intergenic	1	1017198	1051736	34539	2	54991	uc001acr.2	-5507	ENSG00000131591	C1orf159	chromosome 1 open reading frame 159
chr1	1200158	1200677	520	*	PEAK_000000005482	3.02496	Promoter (2-3kb)	1	1189292	1203372	14081	2	118424	uc001adm.4	2695	ENSG00000160087	UBE2J2	ubiquitin conjugating enzyme E2, J2
chr1	1226000	1227575	1576	*	PEAK_000000008842	2.62574	3' UTR	1	1227764	1234335	6572	2	116983	uc001ady.2	6760	ENSG00000131584	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3
chr1	1237154	1237771	618	*	PEAK_000000007915	2.74838	Promoter (2-3kb)	1	1227764	1234335	6572	2	116983	uc001ady.2	-2819	ENSG00000131584	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3
chr1	1306859	1308561	1703	*	PEAK_000000001168	3.80937	Promoter (1-2kb)	1	1309110	1310246	1137	2	54998	uc001afb.1	1685	ENSG00000175756	AURKAIP1	aurora kinase A interacting protein 1
chr1	1376126	1377112	987	*	PEAK_000000000298	4.3755	3' UTR	1	1370903	1378262	7360	1	64856	uc001afr.3	5223	ENSG00000179403	VWA1	von Willebrand factor A domain containing 1
chr1	1440086	1441031	946	*	PEAK_000000003580	3.27536	Intron (uc021oeq.1/83858, intron 7 of 7)	1	1447523	1470067	22545	1	55210	uc001afz.2	-6492	ENSG00000197785	ATAD3A	ATPase family, AAA domain containing 3A
chr1	1840184	1840946	763	*	PEAK_000000001672	3.6467	Distal Intergenic	1	1846266	1848733	2468	1	163688	uc001aih.1	-5320	ENSG00000169885	CALML6	calmodulin like 6
chr1	1875279	1875702	424	*	PEAK_000000006809	2.87586	Distal Intergenic	1	1849029	1850740	1712	2	339456	uc001aij.2	-24539	ENSG00000178821	TMEM52	transmembrane protein 52
chr1	1976166	1977196	1031	*	PEAK_000000007058	2.84811	Distal Intergenic	1	1981909	2116834	134926	1	5590	uc001aiq.3	-4713	ENSG00000067606	PRKCZ	protein kinase C zeta
chr1	2022842	2023253	412	*	PEAK_000000006348	2.92568	Intron (uc001aiq.3/5590, intron 4 of 17)	1	2036155	2116834	80680	1	5590	uc001ais.3	-12902	ENSG00000067606	PRKCZ	protein kinase C zeta
chr1	2071070	2071876	807	*	PEAK_000000001558	3.68161	Intron (uc001aiq.3/5590, intron 5 of 17)	1	2076796	2088167	11372	1	5590	uc009vlb.3	-4920	ENSG00000067606	PRKCZ	protein kinase C zeta
chr1	2126481	2126929	449	*	PEAK_000000001227	3.78399	Promoter (<=1kb)	1	2115899	2126214	10316	2	199990	uc001aiv.2	-267	ENSG00000162585	FAAP20	Fanconi anemia core complex associated protein 20
chr1	2246522	2247233	712	*	PEAK_000000005331	3.04342	Distal Intergenic	1	2281853	2284100	2248	2	100129534	uc001ajc.3	36867	ENSG00000269896	LOC100129534	small nuclear ribonucleoprotein polypeptide N pseudogene
chr1	2312879	2314062	1184	*	PEAK_000000000597	4.07657	Intron (uc001ajb.1/79906, intron 8 of 13)	1	2252696	2322993	70298	2	79906	uc001ajb.1	8931	ENSG00000116151	MORN1	MORN repeat containing 1
chr1	2345655	2346264	610	*	PEAK_000000000912	3.9156	Promoter (1-2kb)	1	2336241	2344010	7770	2	5192	uc001ajg.3	-1645	ENSG00000157911	PEX10	peroxisomal biogenesis factor 10
chr1	2486246	2486748	503	*	PEAK_000000003837	3.23734	Promoter (1-2kb)	1	2487805	2490438	2634	1	8764	uc010nzc.1	-1057	ENSG00000157873	TNFRSF14	tumor necrosis factor receptor superfamily member 14
chr1	2756868	2757701	834	*	PEAK_000000009294	2.54787	Distal Intergenic	1	2572807	2706230	133424	2	100287898	uc021oey.1	-50638	ENSG00000215912	TTC34	tetratricopeptide repeat domain 34
chr1	3369460	3370967	1508	*	PEAK_000000001688	3.6414	Promoter (<=1kb)	1	3371147	3397677	26531	1	27237	uc001akg.4	-180	ENSG00000130762	ARHGEF16	Rho guanine nucleotide exchange factor 16
chr1	3400196	3401101	906	*	PEAK_000000007983	2.74083	Distal Intergenic	1	3388171	3391021	2851	1	27237	uc009vli.1	12025	ENSG00000130762	ARHGEF16	Rho guanine nucleotide exchange factor 16
chr1	3407255	3408578	1324	*	PEAK_000000001653	3.65301	Exon (uc001akk.3/1953, exon 29 of 30)	1	3388171	3391021	2851	1	27237	uc009vli.1	19084	ENSG00000130762	ARHGEF16	Rho guanine nucleotide exchange factor 16
chr1	3481703	3482105	403	*	PEAK_000000008133	2.7212	Intron (uc001akl.3/1953, intron 33 of 36)	1	3477260	3477354	95	2	693135	uc021ofa.1	-4349	ENSG00000207776	MIR551A	microRNA 551a
chr1	3535694	3536133	440	*	PEAK_000000009358	2.53419	Distal Intergenic	1	3541556	3546694	5139	1	127262	uc001akm.3	-5423	ENSG00000158109	TPRG1L	tumor protein p63 regulated 1-like
chr1	3612089	3612497	409	*	PEAK_000000002600	3.43733	Promoter (2-3kb)	1	3614610	3625098	10489	1	7161	uc009vll.3	-2113	ENSG00000078900	TP73	tumor protein p73
chr1	3640884	3641487	604	*	PEAK_000000002632	3.43165	Promoter (2-3kb)	1	3644042	3652765	8724	1	7161	uc010nzl.2	-2555	ENSG00000078900	TP73	tumor protein p73
chr1	3827034	3827768	735	*	PEAK_000000001862	3.5993	Intron (uc001alg.3/100133612, intron 2 of 3)	1	3816968	3832011	15044	1	100133612	uc001alg.3	10066	ENSG00000236423	LINC01134	long intergenic non-protein coding RNA 1134
