seqnames	start	end	width	strand	V4	V5	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr1	1440418	1440874	457	*	PEAK_000000001055	2.98239	Intron (uc021oeq.1/83858, intron 7 of 7)	1	1447523	1470067	22545	1	55210	uc001afz.2	-6649	ENSG00000197785	ATAD3A	ATPase family, AAA domain containing 3A
chr1	3535671	3536090	420	*	PEAK_000000000293	3.63387	Distal Intergenic	1	3541556	3546694	5139	1	127262	uc001akm.3	-5466	ENSG00000158109	TPRG1L	tumor protein p63 regulated 1-like
chr1	5574331	5575085	755	*	PEAK_000000000125	3.9103	Distal Intergenic	1	5624131	5624203	73	1	100616489	uc021ofm.1	-49046	ENSG00000264341	MIR4417	microRNA 4417
chr1	6305376	6306868	1493	*	PEAK_000000000653	3.29052	Promoter (1-2kb)	1	6304252	6305638	1387	1	390992	uc009vly.2	1124	ENSG00000173673	HES3	hes family bHLH transcription factor 3
chr1	7268053	7268512	460	*	PEAK_000000000700	3.26094	Intron (uc001aoi.3/23261, intron 4 of 22)	1	6845384	6932107	86724	1	23261	uc001aoh.3	422669	ENSG00000171735	CAMTA1	calmodulin binding transcription activator 1
chr1	7278425	7279120	696	*	PEAK_000000001075	2.96522	Intron (uc001aoi.3/23261, intron 4 of 22)	1	6845384	6932107	86724	1	23261	uc001aoh.3	433041	ENSG00000171735	CAMTA1	calmodulin binding transcription activator 1
chr1	7727726	7729528	1803	*	PEAK_000000001000	3.04244	Promoter (2-3kb)	1	7732054	7805082	73029	1	23261	uc010nzv.1	-2526	ENSG00000171735	CAMTA1	calmodulin binding transcription activator 1
chr1	8620734	8621550	817	*	PEAK_000000001165	2.8295	Intron (uc001ape.3/473, intron 19 of 23)	1	8420172	8585844	165673	2	473	uc010nzx.1	-34890	ENSG00000142599	RERE	arginine-glutamic acid dipeptide (RE) repeats
chr1	9048076	9048555	480	*	PEAK_000000000340	3.5766	Distal Intergenic	1	9063359	9086404	23046	2	155184	uc009vmo.1	37849	ENSG00000197241	SLC2A7	solute carrier family 2 member 7
chr1	9170172	9171145	974	*	PEAK_000000001089	2.95424	3' UTR	1	9164476	9189229	24754	2	80045	uc001apq.1	18084	ENSG00000180758	GPR157	G protein-coupled receptor 157
chr1	9555482	9555881	400	*	PEAK_000000000812	3.17592	Distal Intergenic	1	9599528	9642831	43304	1	84275	uc001apw.3	-43647	ENSG00000171612	SLC25A33	solute carrier family 25 member 33
chr1	9687184	9687595	412	*	PEAK_000000000606	3.32129	Distal Intergenic	1	9711790	9775827	64038	1	5293	uc001aqa.2	-24195	ENSG00000171608	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
chr1	9927649	9928056	408	*	PEAK_000000000439	3.47294	Intron (uc001aqk.1/56998, intron 1 of 5)	1	9908334	9970316	61983	2	56998	uc001aqk.1	42260	ENSG00000178585	CTNNBIP1	catenin beta interacting protein 1
