seqnames	start	end	width	strand	V4	V5	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr1	564272	565035	764	*	PEAK_000000000002	6.45533	Distal Intergenic	1	621096	622034	939	2	729759	uc010nxv.2	56999	ENSG00000278566	OR4F29	olfactory receptor family 4 subfamily F member 29
chr1	567316	569395	2080	*	PEAK_000000000001	7.4771	Exon (uc001abb.3/uc001abb.3, exon 1 of 1)	1	621096	622034	939	2	729759	uc010nxv.2	52639	ENSG00000278566	OR4F29	olfactory receptor family 4 subfamily F member 29
chr1	805343	806129	787	*	PEAK_000000007997	2.6756	Intron (uc001abt.4/284593, intron 1 of 2)	1	803451	812182	8732	2	284593	uc001abt.4	6053	ENSG00000230368	FAM41C	family with sequence similarity 41 member C
chr1	1307272	1307846	575	*	PEAK_000000002199	3.19482	Promoter (2-3kb)	1	1309110	1310246	1137	2	54998	uc001afb.1	2400	ENSG00000175756	AURKAIP1	aurora kinase A interacting protein 1
chr1	1440273	1441103	831	*	PEAK_000000009218	2.58955	Intron (uc021oeq.1/83858, intron 7 of 7)	1	1447523	1470067	22545	1	55210	uc001afz.2	-6420	ENSG00000197785	ATAD3A	ATPase family, AAA domain containing 3A
chr1	2071201	2071685	485	*	PEAK_000000003338	3.04919	Intron (uc001aiq.3/5590, intron 5 of 17)	1	2076796	2088167	11372	1	5590	uc009vlb.3	-5111	ENSG00000067606	PRKCZ	protein kinase C zeta
chr1	2187008	2187486	479	*	PEAK_000000011243	2.12365	Intron (uc001aja.4/6497, intron 1 of 6)	1	2160134	2241652	81519	1	6497	uc001aja.4	26874	ENSG00000157933	SKI	SKI proto-oncogene
chr1	2231955	2233022	1068	*	PEAK_000000003249	3.05872	Intron (uc001aja.4/6497, intron 1 of 6)	1	2281853	2284100	2248	2	100129534	uc001ajc.3	51078	ENSG00000269896	LOC100129534	small nuclear ribonucleoprotein polypeptide N pseudogene
chr1	2478472	2480706	2235	*	PEAK_000000002830	3.10974	Downstream (<1kb)	1	2481359	2484284	2926	2	115110	uc001ajo.2	3578	NA	LOC115110	uncharacterized LOC115110
chr1	2486291	2487593	1303	*	PEAK_000000008040	2.67328	Promoter (<=1kb)	1	2487805	2490438	2634	1	8764	uc010nzc.1	-212	ENSG00000157873	TNFRSF14	tumor necrosis factor receptor superfamily member 14
chr1	2509895	2510295	401	*	PEAK_000000002004	3.22031	Distal Intergenic	1	2517899	2522908	5010	1	127281	uc021oew.1	-7604	ENSG00000157870	FAM213B	family with sequence similarity 213 member B
chr1	2515853	2517315	1463	*	PEAK_000000008471	2.644	Promoter (<=1kb)	1	2517899	2522908	5010	1	127281	uc021oew.1	-584	ENSG00000157870	FAM213B	family with sequence similarity 213 member B
